record_type,column_name
deployment,deployment_id
deployment,location_id
deployment,location_name
deployment,longitude
deployment,latitude
deployment,start
deployment,end
deployment,setup_by
deployment,camera_id
deployment,camera_model
deployment,camera_interval
deployment,camera_height
deployment,bait_use
deployment,feature_type
deployment,tags
deployment,comments
multimedia,multimedia_id
multimedia,deployment_id
multimedia,sequence_id
multimedia,timestamp
multimedia,file_path
multimedia,file_name
multimedia,file_mediatype
multimedia,comments
observations,observation_id
observations,deployment_id
observations,sequence_id
observations,multimedia_id
observations,timestamp
observations,observation_type
observations,sensor_method
observations,camera_setup
observations,scientific_name
observations,vernacular_name
observations,count
observations,age
observations,sex
observations,behaviour
observations,individual_id
observations,classification_method
observations,classified_by
observations,classification_timestamp
observations,classification_confidence
observations,comments
