id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
1,2004-03-08,pos,1,2,81200100,Zandplaat Kastel,137700,193386,,7,g,-1.5704991715028882,,cm,109,cm
2,2004-03-08,blauwbandgrondel,1,2,81200100,Zandplaat Kastel,137700,193386,,57,g,2.5440701679326594,,cm,95,cm
3,2004-03-08,bittervoorn,1,2,81200100,Zandplaat Kastel,137700,193386,,2,g,0.9853670559823513,,cm,97,cm
4,2004-03-08,driedoornige_stekelbaars,2,2,81200100,Zandplaat Kastel,137700,193386,,6,g,-0.5577930947765708,,cm,141,cm
5,2004-03-08,kolblei,1,2,81200100,Zandplaat Kastel,137700,193386,,5,g,-2.7272703987546265,,cm,149,cm
6,2004-09-13,bittervoorn,1,2,81200100,Zandplaat Kastel,137700,193386,,2,g,-1.4028161391615868,,cm,28,cm
7,2004-09-13,rietvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,,19,g,-3.840391382109374,,cm,199,cm
8,2004-09-13,chinese_wolhandkrab,2,2,81200100,Zandplaat Kastel,137700,193386,,193,g,1.5274111554026604,,cm,137,cm
9,2004-09-13,blankvoorn,6,2,81200100,Zandplaat Kastel,137700,193386,,348,g,4.905831264331937,,cm,53,cm
10,2004-09-13,grijze_garnaal,1730,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,1730,g,-0.8144739083945751,,cm,86,cm
11,2004-09-13,blankvoorn,6,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,32,g,1.9507879600860178,,cm,112,cm
12,2004-09-13,bot,7,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,541,g,-1.255387703422457,,cm,52,cm
13,2004-09-13,brakwatergrondel,103,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,91,g,-0.4128967644646764,,cm,88,cm
14,2004-09-13,dikkopje,3,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,860,g,-4.097402493935078,,cm,57,cm
15,2004-09-13,fint,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,649,g,-3.4204393438994884,,cm,152,cm
16,2004-09-13,karper,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,590,g,2.722950919996947,,cm,104,cm
17,2004-09-13,giebel,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,1687,g,-2.2025185986422002,,cm,120,cm
18,2004-09-13,haring,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,1,g,-1.7927166912704706,,cm,56,cm
19,2004-09-13,baars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,182,g,3.1455577397719026,,cm,126,cm
20,2004-09-13,zeebaars,2,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,79,g,2.470067208632827,,cm,183,cm
21,2004-09-13,snoekbaars,2,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,132,g,1.2513755587860942,,cm,194,cm
22,2004-09-13,kolblei,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,539,g,-4.248286236543208,,cm,173,cm
23,2004-09-13,paling,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,66,g,-2.2293956321664155,,cm,151,cm
24,2004-03-08,giebel,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,140,g,2.2796951280906796,,cm,25,cm
25,2004-03-08,brakwatergrondel,11,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,10,g,-1.3614818430505693,,cm,128,cm
26,2004-03-08,bittervoorn,3,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,6,g,-0.6294987350702286,,cm,107,cm
