date,wbe,fieldworker,type,xlambert,ylambert,year
2022-03-06,121,367,Sound,85548.21181130056,183270.29301211052,2022
2022-02-10,103,279,Sound,34216.05340589459,179934.8308137115,2022
2022-03-18,103,91,Single,28028.331303891697,189180.2013842482,2022
2022-02-26,109,379,Sound,41910.89641824647,176186.37779833842,2022
2022-03-14,113,151,Group,48054.22690300345,183585.9755951203,2022
2022-01-25,122,366,Sound,78262.68513036535,192782.21270974912,2022
2022-01-30,122,138,Sound,78453.98015079446,189946.72503642924,2022
2022-02-23,115,13,Couple,83254.08741905216,169610.9909727145,2022
2022-02-01,240,311,Group,98793.3397422097,167048.3521874575,2022
2022-03-04,122,192,Single,72987.72355570417,188830.9018025305,2022
2022-03-25,113,169,Couple,51535.668230558906,183151.7831775071,2022
2022-03-22,102,447,Sound,39271.61925992128,164300.5132651627,2022
2022-03-29,117,20,Sound,43273.51983965948,186162.21770068537,2022
2022-03-18,239,421,Group,94748.65360062484,179406.62547426112,2022
2022-02-24,114,508,Single,44094.06963240159,198665.3832609309,2022
2022-01-19,118,97,Sound,41392.90056138155,178287.66639734432,2022
2022-03-03,110,387,Single,75132.3729667278,196972.6276932741,2022
2022-03-21,106,422,Group,72374.68841178782,223849.44034863077,2022
2022-03-26,109,160,Single,31635.427252975045,170338.0018064482,2022
2022-02-15,120,442,Group,40175.631062176704,176069.5125434259,2022
2022-02-04,109,427,Couple,32952.73832730041,174806.41900322493,2022
2022-03-23,102,126,Group,39273.688932403995,159352.5905448068,2022
2022-02-24,130,234,Single,56817.99483886467,214631.66273379885,2022
2022-02-26,107,298,Couple,73178.30967742128,161505.04666663148,2022
2022-03-27,126,418,Single,79581.89981738494,221416.6044218354,2022
2022-02-01,109,19,Single,28919.140997780454,178312.85042507574,2022
2022-01-21,222,251,Group,127132.9134686631,172760.29781870916,2022
2022-02-21,115,73,Couple,82305.69585749261,165597.985965834,2022
2022-01-27,122,322,Couple,63411.528574556825,189869.96949701384,2022
2022-01-21,115,325,Sound,82254.83180798357,161688.0692963954,2022
2022-02-07,105,119,Group,55709.88274316628,197867.00681042112,2022
2022-03-11,240,528,Sound,101297.08498938574,174464.46364729665,2022
2022-03-12,102,407,Single,35749.29635909373,168243.87854298297,2022
2022-01-19,526,506,Couple,138229.50343691598,160354.17532726005,2022
2022-02-03,505,491,Group,186792.2589578437,176594.04502138775,2022
2022-02-13,121,360,Sound,77885.12861198102,184634.29068796895,2022
2022-03-30,217,72,Sound,110837.97175086354,201126.2846318828,2022
2022-03-13,113,222,Group,57980.5244511247,187775.9621744631,2022
2022-03-07,110,146,Single,66415.63581084184,196485.7977746958,2022
2022-01-27,128,262,Couple,48467.576109705115,208415.53909982927,2022
2022-03-25,103,328,Couple,38465.58623372982,180553.39564108665,2022
2022-01-15,118,185,Sound,54118.33527703678,174691.04629014432,2022
2022-03-12,118,432,Single,45195.75765251355,182350.32243104372,2022
2022-01-17,118,531,Couple,36538.937798048224,177037.76828549337,2022
2022-01-16,102,266,Group,41040.94229322106,167332.0748823285,2022
2022-03-13,109,425,Single,36270.39972037652,173133.61162478197,2022
2022-03-13,109,256,Sound,35254.142662568556,170426.57246277295,2022
2022-02-01,113,396,Sound,54752.53084573406,184897.09310008585,2022
2022-02-10,507,485,Single,142633.7828498798,185153.9237861512,2022
2022-03-19,210,43,Single,116955.138384484,179307.05501781497,2022
2022-02-13,108,23,Sound,74948.89170040961,174641.5438215742,2022
2022-03-26,110,3,Sound,74550.7303670956,195025.4834904289,2022
2022-02-16,122,305,Couple,71480.7214721116,188246.5836539874,2022
2022-02-18,103,32,Group,30624.048271971944,181296.18004545756,2022
2022-02-25,115,38,Couple,79322.48286665096,168573.73036748916,2022
2022-01-18,222,377,Single,132510.3410543337,185432.5473784553,2022
2022-03-17,240,454,Group,105790.56975232036,175461.4017927423,2022
2022-01-30,337,428,Group,152262.76221270754,192654.6528424984,2022
2022-03-30,116,467,Couple,57850.042666366266,173539.4441373311,2022
2022-02-10,128,183,Single,44756.2596309021,207106.93590470124,2022
2022-03-20,118,110,Group,51969.08269047216,175686.3271436086,2022
2022-02-10,216,26,Single,121984.66205357036,205926.36339311025,2022
2022-01-22,105,471,Single,63159.63743061021,196850.00664143357,2022
2022-01-19,526,480,Sound,140232.08709756943,168121.67417612486,2022
2022-03-15,115,448,Single,88811.02517512412,166442.98586832825,2022
2022-02-07,210,303,Couple,122212.16792322992,177523.89526690636,2022
2022-01-16,326,395,Group,171393.3998563746,233262.1041755434,2022
2022-03-20,113,356,Couple,58517.29978645308,180351.14460508712,2022
2022-01-26,531,106,Couple,123891.24866314352,156399.35812404193,2022
2022-03-29,505,488,Couple,191797.27799479608,182821.15435352176,2022
2022-03-29,,49,Couple,71681.71577027449,164778.2673443779,2022
2022-01-28,240,238,Couple,108969.75634064325,168727.88277622312,2022
2022-01-27,116,250,Couple,57804.40945283507,171894.01203786302,2022
2022-01-24,109,379,Group,29228.53706799232,175979.04177096672,2022
2022-01-24,106,422,Sound,74389.53454097283,222485.42492047415,2022
2022-03-25,105,113,Couple,63094.060676637615,201474.3210827727,2022
2022-02-01,207,468,Sound,113747.21255675163,195271.90630146585,2022
2022-03-15,118,343,Single,42504.380963600706,179829.36109873652,2022
2022-02-02,240,419,Single,106954.0808294376,176500.76410521008,2022
2022-02-28,101,52,Single,23432.973603750113,196722.5821686052,2022
2022-02-22,207,402,Sound,113916.325553586,198110.3210859839,2022
2022-03-19,122,307,Couple,70424.10274606287,182915.09261992577,2022
2022-03-17,243,82,Group,79485.7520053428,211315.19918831717,2022
2022-02-06,213,401,Couple,113713.3125292458,164060.4643047331,2022
2022-03-25,221,482,Couple,98899.54908889555,217259.54905445408,2022
2022-01-27,121,78,Sound,80797.63299005656,189189.63149490207,2022
2022-01-15,113,63,Sound,49655.485970251786,179876.3085647868,2022
2022-03-09,,276,Single,63966.07111556837,212888.86376074795,2022
2022-02-16,,135,Group,91941.44241693412,203871.14388787653,2022
2022-03-07,108,397,Single,67128.51805466117,175648.89175865334,2022
2022-02-27,105,119,Single,55957.18914593084,198933.38016450685,2022
2022-01-26,102,105,Group,38712.992122352545,168516.2122455323,2022
2022-01-27,106,241,Single,80855.76956015844,225914.52802494075,2022
2022-03-29,128,290,Group,46415.38106133534,206236.82966728415,2022
2022-02-13,122,499,Couple,63609.31691896661,187937.7916792948,2022
2022-02-01,250,468,Couple,108727.3845252666,184256.59326463565,2022
2022-02-28,110,289,Sound,76144.33743388992,203659.5682255635,2022
2022-02-26,210,205,Sound,112199.6375047997,183643.9754215125,2022
2022-02-05,121,353,Sound,79722.94898582203,180732.87450134105,2022
2022-03-05,105,168,Group,66227.66476978138,205486.19829309732,2022
2022-01-16,118,235,Group,48721.80445880862,175013.61570298765,2022
2022-03-18,217,210,Sound,113713.51882369436,205087.64079184644,2022
2022-03-08,249,7,Couple,109865.46838715776,163290.13091993053,2022
2022-01-31,209,369,Couple,107840.96270128894,211804.43110789824,2022
2022-01-28,210,320,Sound,120733.13086312762,177444.82809758,2022
2022-03-13,109,207,Sound,34947.406728961534,169651.83879796695,2022
2022-03-20,110,546,Single,74497.01038101011,210928.415161754,2022
2022-02-23,113,232,Group,60802.91959708436,183565.2570083905,2022
2022-03-01,130,271,Couple,60914.83639633063,212287.41497762408,2022
2022-01-23,121,332,Single,83217.41878713657,179855.4197929753,2022
2022-02-15,117,141,Couple,40296.36026057582,182268.1231859522,2022
2022-03-25,202,200,Couple,95520.77864934845,212161.4245069493,2022
2022-03-29,121,367,Couple,81582.51902691,182424.55294283383,2022
2022-03-24,110,362,Single,78157.21856751769,200265.78925240133,2022
2022-03-01,128,295,Sound,47859.537213404095,209546.9022559011,2022
2022-02-15,109,379,Group,40001.62366515362,177031.97396540456,2022
2022-03-12,227,522,Couple,93488.28477464372,203665.64414274413,2022
2022-02-06,122,34,Sound,66796.61228373178,193689.87378450483,2022
2022-01-17,124,9,Group,61207.28652537508,220794.02274211217,2022
2022-03-07,121,367,Sound,83557.81690375374,187123.02137972417,2022
2022-02-25,121,545,Single,73837.37608555896,181116.48406261485,2022
2022-02-03,107,275,Couple,66376.26961090545,162130.12890198547,2022
2022-02-28,122,81,Sound,71729.38432935276,183935.352871228,2022
2022-02-10,110,361,Single,72974.13626566251,201308.426457108,2022
2022-03-17,240,388,Single,96532.70239903862,165752.38168317918,2022
2022-03-25,109,379,Single,40578.7853476843,176903.89466923475,2022
2022-02-20,113,386,Group,55546.50648226804,178814.73942388128,2022
2022-02-17,109,127,Couple,34435.29445109998,169175.7405965645,2022
2022-03-12,115,73,Couple,83241.49600481945,167274.4557323251,2022
2022-03-19,130,339,Couple,54169.34206823056,215085.52925488912,2022
2022-01-26,202,80,Group,94985.59533290208,215987.74237922765,2022
2022-02-27,128,444,Group,38052.00103860142,205144.60794307105,2022
2022-02-08,122,329,Single,65593.6483787004,188504.8807319887,2022
2022-03-22,102,45,Couple,40525.142145370046,162145.6628653314,2022
2022-02-09,121,282,Sound,77483.00895951256,182706.98742192332,2022
2022-03-05,120,478,Couple,40663.16429311954,174768.17609911133,2022
2022-03-29,240,29,Group,100673.5650921753,172520.38249897398,2022
2022-03-01,121,282,Single,75956.86186588203,184789.57548360992,2022
2022-03-13,216,103,Single,119452.9363753784,202350.39317373652,2022
2022-03-14,116,250,Group,55532.60533867404,173163.02150935773,2022
2022-03-01,213,154,Couple,115102.19591688443,167517.8001745306,2022
2022-02-22,115,191,Single,77354.86569235216,171026.9754772773,2022
2022-01-18,317,39,Single,161995.89294268168,208044.1677985685,2022
2022-02-13,121,459,Couple,74653.87751307388,184683.8255877858,2022
2022-03-29,118,436,Couple,36901.446270531174,179544.8620556919,2022
2022-01-26,326,547,Group,174636.3388319235,234698.245165037,2022
2022-03-14,108,293,Group,67773.63161636988,169619.05340073444,2022
2022-03-21,254,364,Sound,86368.49399826693,207935.01688589712,2022
2022-02-24,526,67,Couple,136838.84710877357,158418.68616374582,2022
2022-02-09,118,343,Group,41023.97824445178,180912.79777745996,2022
2022-02-03,118,97,Group,40337.24634343354,178375.57017086074,2022
2022-03-23,124,239,Single,59837.02715658765,216795.906201208,2022
2022-03-20,125,226,Couple,79996.41007971855,159585.54588803183,2022
2022-03-02,130,158,Single,56387.60947283941,210281.4203192219,2022
2022-03-15,130,314,Single,57485.63255839224,216444.606026005,2022
2022-03-31,114,458,Couple,52351.40512989624,202572.30593033787,2022
2022-02-12,526,480,Couple,141049.25018153994,165744.34311303124,2022
2022-02-06,118,281,Group,51177.948691962694,175418.51903264318,2022
2022-03-25,109,346,Sound,28442.810546915494,175505.034072374,2022
2022-03-25,115,71,Group,82532.06565296551,171232.98845919315,2022
2022-02-04,531,534,Group,131119.76945501,163191.42617410887,2022
2022-02-02,223,302,Group,106212.4399263226,183726.8267316278,2022
2022-03-17,312,204,Couple,154210.6538974596,237009.89214126952,2022
2022-03-14,121,305,Single,71957.04775864599,185860.8824622035,2022
2022-03-16,239,380,Sound,93224.7943733921,174804.87712721713,2022
2022-03-01,102,406,Single,45673.585623365856,166952.74772610422,2022
2022-03-06,121,282,Couple,75349.1679749852,181651.07676143944,2022
2022-03-20,223,302,Single,107411.52941458818,183432.7420350993,2022
2022-03-12,213,306,Sound,112336.53214642248,164931.04713937177,2022
2022-03-19,102,22,Single,47833.69260323698,169844.218931905,2022
2022-02-04,110,316,Sound,79560.609632057,200255.04377013168,2022
2022-02-02,326,197,Group,176753.28785930105,233350.09578361735,2022
2022-03-26,114,193,Sound,48964.455083144116,200249.1996974582,2022
2022-02-24,118,201,Single,39756.01388455597,182317.27740114275,2022
2022-02-06,207,502,Couple,113766.744661397,196290.33686881512,2022
2022-03-06,103,259,Single,28012.805149426276,185159.8524005236,2022
2022-02-14,239,445,Sound,96700.53286670274,176708.63602271862,2022
2022-02-18,113,345,Single,59886.113119826216,187515.94587270543,2022
2022-01-19,108,490,Couple,68062.90746262063,177566.70481104124,2022
2022-02-08,121,305,Group,73772.02131653726,186734.94955193717,2022
2022-01-27,114,142,Sound,48416.4952859074,204814.99357124697,2022
2022-02-17,116,288,Single,64259.35566725598,178520.2208399335,2022
2022-02-25,121,64,Couple,76246.16394622337,179869.31497661115,2022
2022-01-29,121,240,Group,78867.76342042007,173565.83544434048,2022
2022-01-18,102,198,Sound,52443.25535402326,168230.4164900491,2022
2022-03-20,106,255,Couple,72181.8850520045,216450.0530524673,2022
2022-03-17,240,388,Sound,97033.09713967744,164672.24131880607,2022
2022-03-09,114,508,Sound,46540.93756903043,201425.54733898956,2022
2022-02-14,248,265,Single,113910.46432121543,173947.4677040968,2022
2022-02-12,118,77,Sound,46963.58504600225,184495.04041489493,2022
2022-02-13,113,501,Group,55735.485105589614,187764.13666473425,2022
2022-01-20,526,348,Group,141577.13463411023,161129.11005235836,2022
2022-03-14,121,525,Single,75052.71140835684,179911.5577569753,2022
2022-02-01,102,237,Couple,56379.76938001359,165137.07204101048,2022
2022-02-20,118,235,Group,48378.864231186206,174733.72111127153,2022
2022-01-22,221,375,Group,101356.6320115084,212766.4588090023,2022
2022-03-01,526,348,Single,139234.04966839598,160753.1390371397,2022
2022-02-21,326,128,Group,171772.90377647412,232853.05219605935,2022
2022-02-09,209,166,Group,102439.91214650324,214188.20368773676,2022
2022-03-15,128,139,Sound,46538.213860223506,207462.7447558269,2022
2022-01-29,507,449,Group,134286.64740491635,189895.3229670068,2022
2022-01-31,118,201,Group,39125.00686188042,180762.93740863167,2022
2022-03-17,240,388,Couple,96178.81120768916,166696.97346209362,2022
2022-03-19,113,496,Couple,59080.64140282596,189783.31616311148,2022
2022-03-01,105,157,Sound,58650.36478843022,194583.10247771256,2022
2022-02-07,243,100,Couple,82005.54458336615,214144.7834285563,2022
2022-02-25,128,489,Single,48234.22024882329,210784.6481142184,2022
2022-02-19,124,224,Single,59465.88758932735,219665.91185218003,2022
2022-03-01,110,216,Couple,76943.79458237813,200687.7323589688,2022
2022-02-05,130,1,Couple,53818.94654801814,214795.2251793053,2022
2022-02-14,122,25,Couple,80539.52741023072,194407.2010663664,2022
2022-02-18,102,147,Couple,50244.546173925264,172684.39530341793,2022
