color_ring	color_ring_dots	place	background_color	inscription_color	euring_code	sex_code	metal_ring
R6AR	RP.AR	LU	B	W	5920	O	H901503
ZUAW	Z.UAW	RU	B	W	5920	O	H902054
Z1A3	ZT.AU	RU	B	W	5920	O	H902082
R2AR	RA.AR	RU	B	W	5910	O	L920883
RAAS	RAA.S	RU	B	W	5910	O	L920844
RAAU	RA.AU	RU	B	W	5910	O	L920850
RBaF	RB.AF	RU	B	W	5910	O	L920846
R4A9	RB.AJ	LU	B	W	5920	O	H902005
RBAR	RB.AR	RU	B	W	5910	O	L916007
RHAR	RH.AR	RU	B	W	5910	O	L916138
RFCR	RF.AB	RU	B	W	5910	O	L92082
R4AB	RG.AB	RU	B	W	5910	O	L920829
RGAU	RG.AU	RU	B	W	5910	O	L920830
RAAB	RA.AB	RU	B	W	5910	O	L920892
RKAU	RK.AU	RU	B	W	5910	O	L916132
RRAS	RRA.S	LU	B	W	5920	O	H901504
RRAU	RR.AU	LU	B	W	5920	O	H902013
RRAW	R.RAW	RU	B	W	5920	O	H902045
RRAZ	R.RAZ	LU	B	W	5910	O	L916016
RSAJ	RS.AJ	LU	B	W	5910	O	L916015
RSAW	R.SAW	LD	B	W	5910	O	L917682
RTAZ	R.TAZ	LU	B	W	5910	O	L916003
RUAJ	RU.AJ	LU	B	W	5910	O	L916002
CWCR	RW.AB	RU	B	W	5910	O	L91758
ZTAR	ZTA.S	RU	B	W	5920	O	H90256
RZAF	RZ.AF	RU	B	W	5910	O	L91584
CZAR	RZ.AJ	RU	B	W	5910	O	L97570
RZAR	RZ.AR	RU	B	W	5910	O	L917572
ZUAB	ZU.AB	RU	B	W	5920	O	H902099
ZUAJ	ZU.AJ	RU	B	W	5920	O	H902088
Z1AB	ZV.AB	RU	B	W	5920	O	H902099
ZVAJ	ZV.AJ	RU	B	W	5920	O	H902092
ZVAY	ZVA.Y	RU	B	W	5920	O	H902061
ZVAZ	Z.VAZ	RD	B	W	5920	O	H902085
ZUAR	ZU.AR	RU	B	W	5920	O	H902095
RWAR	RW.AR	RU	B	W	5910	O	L917579
ZAAU	ZA.AU	RU	B	W	5920	O	H903110
ZBAF	ZB.FF	RU	B	W	5920	O	H903111
ZbaU	ZB.AU	RU	B	W	5920	O	H903112
ZAAR	ZA.AR	RU	B	W	5920	O	H903115
ZCAB	ZC.AB	RU	B	W	5920	O	H903117
CCAR	ZCA.Y	RU	B	W	5920	O	H90311
ZAAY	ZAA.Y	RU	B	W	5920	O	H903119
ZBAR	ZB.AR	RU	B	W	5920	O	H903123
ZCAW	Z.CAW	RU	R	W	5920	O	H903124
ZCAF	ZC.AF	RU	B	W	5920	O	H903126
RRAJ	RR.AJ	RU	B	W	5910	O	L917697
ZBAJ	ZB.AJ	RU	B	W	5920	O	H905305
RLAZ	R.LAZ	RU	B	W	5910	O	L916372
RLAU	RL.AA	RU	B	W	5910	O	L916315
ZLAZ	Z.LAZ	RU	B	W	5920	O	H905167
ZWAW	Z.WAW	RU	B	W	5920	O	H903799
RUAR	RU.AR	LU	B	W	5910	O	L923142
ZZAY	ZZA.Y	RU	B	W	5920	O	H907405
Z33B	ZF.BB	RU	B	W	5920	O	H903643
ZLAF	ZL.AF	RU	B	W	5920	O	H905166
ZFAS	ZFA.S	RU	B	W	5920	O	H905209
ZdaZ	Z.DAZ	RU	B	W	5920	O	H905228
ZGAR	ZG.AR	RU	B	W	5920	O	H905161
ZFAZ	Z.FAZ	RU	B	W	5920	O	H905230
ZGAU	ZG.AU	RU	B	W	5920	O	H905231
ZDAW	Z.DAW	RU	B	W	5920	O	H905234
ZDAB	ZD.AB	RU	B	W	5920	O	H905235
ZGAF	ZG.AF	RU	B	W	5920	O	H905237
ZGAY	ZGA.Y	RU	B	W	5920	O	H905238
ZGAS	ZGA.S	RU	B	W	5920	O	H905239
ZDAU	ZD.AU	RU	B	W	5920	O	H905240
ZDAJ	ZD.AJ	RU	B	W	5920	O	H905214
ZFAU	ZF.AU	RU	B	W	5920	O	H905247
ZFAF	ZF.AF	RU	B	W	5920	O	H905232
RTAR	RT.AR	RU	B	W	5910	O	L923143
ZRAW	Z.RAW	LU	B	W	5910	O	L925929
ZSAS	ZSA.S	LU	B	W	5910	O	L925932
ZSAZ	Z.SAZ	LU	B	W	5910	O	L925933
ZRAU	ZR.AU	LU	B	W	5910	O	L925935
ZRAJ	ZR.AJ	LU	B	W	5910	O	L925939
ZPAB	ZP.AB	LU	B	W	5910	O	L925941
ZPAZ	Z.PAZ	LU	B	W	5910	O	L925942
ZSAU	ZS.AU	LU	B	W	5910	O	L925945
ZMAR	ZM.AR	RU	B	W	5920	O	H907858
ZPAR	ZE.AR	RU	B	W	5920	O	H905115
ZSAR	ZS.AR	LU	B	W	5920	O	H905106
ZPAS	ZPA.S	RU	B	W	5920	O	L925958
ZMAZ	Z.MAZ	RU	B	W	5920	O	H905184
zpAY	ZPA.Y	RU	B	W	5910	O	L925951
ZMAW	Z.MAW	RU	B	W	5920	O	H905181
ZLAB	ZL.AB	RU	B	W	5920	O	H905195
ZRAS	ZRA.S	RU	B	W	5920	O	H905114
ZMAU	ZN.AU	LU	B	W	5920	M	L915954
RVAU	RV.AU	LD	R	W	5910	O	L922902
ZWAU	ZW.AU	RU	B	W	5920	O	H907408
ZWAS	ZWA.S	LU	B	W	5920	O	H905422
ZFAR	ZF.AR	RU	B	P	5920	O	H905153
ZMAB	ZM.AB	RU	B	W	5920	O	H905183
ZNAZ	Z.NAZ	RU	B	W	5920	O	H907553
RVAW	R.VAW	LU	B	W	5910	O	L925136
ZNAF	ZN.AF	RU	B	W	5920	O	H907558
ZMAS	ZMA.S	RU	B	W	5920	O	H905182
ZHAY	ZHA.Y	RU	B	W	5920	O	H905186
ZCAZ	Z.AAZ	RU	B	W	5920	O	H903788
ZZAJ	ZZ.AJ	RU	B	W	5920	O	H903791
ZPAF	ZP.AF	RU	B	W	5910	O	L925956
RCAW	R.CAW	LD	B	W	5910	O	L922910
ZJAW	Z.JAW	RU	B	W	5920	O	H907906
