gbifID	species	speciesKey	genus	genusKey	eventDate	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
4863959325	Lacanobia oleracea	1759083	Lacanobia	1759029	2024-05-14T08:55:43Z	51.229813	2.941936	174
4863957043	Epirrhoe alternata	8361848	Epirrhoe	1964577	2024-05-11T12:31:49Z	49.639986	5.486612	81
4863955085	Vanessa atalanta	1898286	Vanessa	1898261	2024-05-10T17:19:00Z	50.481361	3.648745	61
4863954761	Xanthorhoe fluctuata	1986157	Xanthorhoe	1986081	2024-05-13T07:28:00Z	50.438721	6.108858	2
4863953098	Callophrys rubi	1932411	Callophrys	1932378	2024-05-11T12:34:36Z	49.639784	5.486431	205
4863950282	Pseudoips prasinana	1802280	Pseudoips	1802269	2024-05-14T07:07:00Z	50.551545	5.098321	1
4863949816	Lobophora halterata	5144426	Lobophora	1964936	2024-05-13T07:00:00Z	50.438728	6.108838	2
4863949775	Agrotis exclamationis	1771214	Agrotis	8407958	2024-05-13T07:34:04Z	50.813193	4.398086	186
4863946014	Cydalima perspectalis	4532122	Cydalima	1884886	2024-05-13T14:14:54Z	50.08945	4.564355	3
4863943031	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-11T15:08:00Z	49.66435	5.771588	234
4863927035	Eupithecia vulgata	1982542	Eupithecia	1982367	2024-05-13T06:42:00Z	50.438722	6.108849	2
4863919049	Lacanobia oleracea	1759083	Lacanobia	1759029	2024-05-14T08:59:08Z	51.229807	2.941925	202
4863918752	Papilio machaon	8225376	Papilio	10175914	2024-05-12T15:54:00Z	50.493856	6.170847	8
4863900158	Aglais io	4535827	Aglais	1894779	2024-05-10T11:21:32Z	49.920522	5.236262	5
4863898160	Peribatodes rhomboidaria	1957572	Peribatodes	1957545	2024-05-12T07:07:00Z	50.551553	5.098321	1
4863884356	Phlogophora meticulosa	1782560	Phlogophora	1782524	2024-05-12T15:43:00Z	51.072855	3.719849	37
4863881659	Chiasmia clathrata	4525078	Chiasmia	4525072	2024-05-13T12:15:45Z	50.520585	3.602229	8
4863881639	Chiasmia clathrata	4525078	Chiasmia	4525072	2024-05-13T11:04:42Z	50.5212	3.603106	72
4863878783	Pterostoma palpina	1825064	Pterostoma	1825057	2024-05-14T08:50:34Z	51.22979	2.941921	187
4863876628	Spilosoma lubricipeda	8237987	Spilosoma	9146182	2024-05-08T07:41:00Z	50.551566	5.098303	1
4863874397	Coenonympha pamphilus	1911461	Coenonympha	1911078	2024-05-10T16:31:49Z	49.573633	5.821629	31
4863866798	Yponomeuta cagnagellus	4525369	Yponomeuta	1830379	2024-05-10T16:54:18Z	50.959253	4.727075	4
4863866724	Cossus cossus	5101394	Cossus	1730815	2024-05-11T11:10:37Z	50.795528	3.340328	16
4863866251	Vanessa atalanta	1898286	Vanessa	1898261	2024-05-14T07:37:00Z	51.176463	4.634245	8
4863866160	Odontopera bidentata	1990066	Odontopera	1989996	2024-05-14T07:25:00Z	50.438738	6.108851	2
4863864874	Pieris napi	1920494	Pieris	1920481	2024-05-09T15:50:00Z	50.397146	5.887281	15
4863864210	Autographa gamma	1792418	Autographa	1792405	2024-05-10T14:24:46Z	49.636794	5.686384	73
4863862731	Epirrhoe alternata	8361848	Epirrhoe	1964577	2024-05-09T16:22:04Z	49.684843	5.562235	222
4863850704	Mythimna vitellina	5772206	Mythimna	1767644	2024-05-14T08:58:31Z	51.229799	2.941903	52
4863850698	Cepphis advenaria	1967245	Cepphis	1967242	2024-05-14T07:07:00Z	50.551539	5.098319	1
4863847309	Eupithecia centaureata	1983525	Eupithecia	1982367	2024-05-14T08:49:42Z	51.229859	2.941911	42
4863843868	Arctia caja	5115874	Arctia	5115807	2024-05-09T10:31:00Z	50.457959	3.696601	15
4863842781	Hofmannophila pseudospretella	1836899	Hofmannophila	1836898	2024-05-14T11:27:45Z	51.229719	2.941941	21
4863841768	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-11T12:55:29Z	49.638759	5.486666	213
4863836657	Calliteara pudibunda	1819145	Calliteara	1819125	2024-05-08T15:28:00Z	49.780915	5.237647	12764
4863832967	Autographa gamma	1792418	Autographa	1792405	2024-05-14T10:48:20Z	50.436648	3.967418	86
4863832425	Pararge aegeria	8049830	Pararge	1894469	2024-05-13T13:48:07Z	50.520841	3.601832	5
