deploymentID,locationID,species,eventDate,individualCount
tc6,Semois,Macroglossum stellatarum,2022-05-01,21
mt2,Leie,Ematurga atomaria,2022-06-08,6
yn2,Semois,Capsula sparganii,2022-05-05,29
ql9,Leie,Macroglossum stellatarum,2022-05-22,7
kw4,Dender,Noctua pronuba,2022-05-19,13
tc6,Dender,Cossus cossus,2022-06-02,17
fr0,Semois,Lymantria dispar,2022-05-03,13
zp7,Dender,Cerura vinula,2022-05-08,10
tc6,Semois,Deilephila elpenor,2022-05-18,9
yn2,Leie,Chrysoteuchia culmella,2022-05-23,28
yn2,Leie,Sphinx ligustri,2022-06-08,16
ql9,Dender,Cerura vinula,2022-06-19,24
kw4,Semois,Biston betularia,2022-06-26,15
mt2,Semois,Capsula sparganii,2022-05-25,27
ql9,Leie,Phalera bucephala,2022-05-23,28
ql9,Dender,Ematurga atomaria,2022-06-11,22
zp7,Semois,Macroglossum stellatarum,2022-06-05,26
nb8,Dender,Sphinx ligustri,2022-05-25,4
kw4,Semois,Ematurga atomaria,2022-06-04,1
xa1,Leie,Cossus cossus,2022-05-13,8
ql9,Dender,Eupithecia vulgata,2022-05-12,29
vs3,Dender,Plusia festucae,2022-06-20,10
nb8,Dender,Ematurga atomaria,2022-06-26,22
xa1,Leie,Macroglossum stellatarum,2022-05-24,30
vs3,Semois,Chrysoteuchia culmella,2022-06-18,15
kw4,Dender,Cossus cossus,2022-05-13,15
gh3,Dender,Plusia festucae,2022-05-18,6
vs3,Leie,Ematurga atomaria,2022-06-27,21
fr0,Semois,Capsula sparganii,2022-06-19,24
nb8,Leie,Geometra papilionaria,2022-05-23,19
vs3,Semois,Cerura vinula,2022-05-02,6
bd5,Dender,Sphinx ligustri,2022-05-25,28
gh3,Leie,Capsula sparganii,2022-06-03,20
yn2,Dender,Sphinx ligustri,2022-05-28,28
yn2,Leie,Geometra papilionaria,2022-05-13,2
fr0,Dender,Amphipyra pyramidae,2022-06-15,30
vs3,Leie,Macroglossum stellatarum,2022-06-06,23
vs3,Dender,Cerura vinula,2022-06-12,6
zp7,Leie,Amphipyra pyramidae,2022-05-22,17
vs3,Dender,Noctua pronuba,2022-06-23,21
tc6,Leie,Cerura vinula,2022-05-20,20
mt2,Semois,Amphipyra pyramidae,2022-05-18,3
bd5,Leie,Galleria mellonella,2022-05-06,18
zp7,Dender,Deilephila elpenor,2022-06-13,22
kw4,Leie,Noctua pronuba,2022-06-21,20
zp7,Leie,Galleria mellonella,2022-05-22,14
tc6,Semois,Chrysoteuchia culmella,2022-06-27,6
kw4,Semois,Sphinx ligustri,2022-05-08,23
bd5,Leie,Phragmatobia fuliginosa,2022-05-26,9
tc6,Semois,Thaumetopoea processionea,2022-06-13,29
