kingdom	kingdomkey	phylum	phylumkey	class	classkey	order	orderkey	family	familykey	genus	genuskey	species	specieskey	year	CELLCODE	occurrences
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE405N305	3
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2019	10kmE400N301	13
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE400N296	29
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2024	10kmE396N303	42
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2025	10kmE402N300	4
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2024	10kmE402N302	12
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE400N301	26
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2020	10kmE401N296	9
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2019	10kmE398N301	32
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE395N299	10
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2022	10kmE394N305	1
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE402N295	3
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE398N301	30
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2024	10kmE396N301	39
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2021	10kmE396N299	18
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2023	10kmE396N303	75
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2019	10kmE396N297	37
Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Procyon	2433592	Procyon lotor	5218786	2018	10kmE400N303	6
